ip_address,ap_ip_address,ap_name,ap_ssid,bgp_as,bridge_domain,device_contact,device_location,device_model,device_vendor,discovered_name,discoverer,endpoint_groups,first_discovered_timestamp,last_discovered_timestamp,mac_address,netbios_name,network_component_contact,network_component_description,network_component_ip,network_component_location,network_component_model,network_component_name,network_component_port_description,network_component_port_name,network_component_port_number,network_component_type,network_component_vendor,os,port_duplex,port_link_status,port_speed,port_status,port_vlan_name,port_vlan_number,tenant,vrf_description,vrf_name,vrf_rd,task_name
193.1.103.41,,,,,,,,,,,NetMRI,,27-03-2020 08:05,27-03-2020 08:05,78:e7:d1:91:ce:5e,,,"Cisco IOS Software, C3750E Software (C3750E-UNIVERSALK9-M), Version 12.2(55)SE3, RELEASE SOFTWARE (fc1)  Technical Support: http://www.cisco.com/techsupport  Copyright (c) 1986-2011 by Cisco Systems, Inc.  Compiled Thu 05-May-11 15:40 by prod_rel_team",2.5.70.1,QA santaClara lab Simplesoft server,catalyst37xxStack,QAlab2swrtr07SS.qanet.com,Connected to CLDC-QALAB-SW3 on Gi1/0/13 for scan access,Gi1/0/22,22,Switch-Router,Cisco,,Full,Connected,1G,Up,VLAN3000,3000,,,,,172.19.1.60_10
193.1.106.53,,,,,,,,,,,NetMRI,,27-03-2020 08:05,27-03-2020 08:05,78:e7:d1:91:ce:5e,,,"Cisco IOS Software, C3750E Software (C3750E-UNIVERSALK9-M), Version 12.2(55)SE3, RELEASE SOFTWARE (fc1)  Technical Support: http://www.cisco.com/techsupport  Copyright (c) 1986-2011 by Cisco Systems, Inc.  Compiled Thu 05-May-11 15:40 by prod_rel_team",2.5.70.1,QA santaClara lab Simplesoft server,catalyst37xxStack,QAlab2swrtr07SS.qanet.com,Connected to CLDC-QALAB-SW3 on Gi1/0/13 for scan access,Gi1/0/22,22,Switch-Router,Cisco,,Full,Connected,1G,Up,VLAN3000,3000,,,,,172.19.1.60_10
193.1.108.18,,,,,,,,,,,NetMRI,,27-03-2020 08:05,27-03-2020 08:05,78:e7:d1:91:ce:5e,,,"Cisco IOS Software, C3750E Software (C3750E-UNIVERSALK9-M), Version 12.2(55)SE3, RELEASE SOFTWARE (fc1)  Technical Support: http://www.cisco.com/techsupport  Copyright (c) 1986-2011 by Cisco Systems, Inc.  Compiled Thu 05-May-11 15:40 by prod_rel_team",2.5.70.1,QA santaClara lab Simplesoft server,catalyst37xxStack,QAlab2swrtr07SS.qanet.com,Connected to CLDC-QALAB-SW3 on Gi1/0/13 for scan access,Gi1/0/22,22,Switch-Router,Cisco,,Full,Connected,1G,Up,VLAN3000,3000,,,,,172.19.1.60_10
193.1.120.26,,,,,,,,,,,NetMRI,,27-03-2020 08:05,27-03-2020 08:05,78:e7:d1:91:ce:5e,,,"Cisco IOS Software, C3750E Software (C3750E-UNIVERSALK9-M), Version 12.2(55)SE3, RELEASE SOFTWARE (fc1)  Technical Support: http://www.cisco.com/techsupport  Copyright (c) 1986-2011 by Cisco Systems, Inc.  Compiled Thu 05-May-11 15:40 by prod_rel_team",2.5.70.1,QA santaClara lab Simplesoft server,catalyst37xxStack,QAlab2swrtr07SS.qanet.com,Connected to CLDC-QALAB-SW3 on Gi1/0/13 for scan access,Gi1/0/22,22,Switch-Router,Cisco,,Full,Connected,1G,Up,VLAN3000,3000,,,,,172.19.1.60_10
193.1.122.28,,,,,,,,,,,NetMRI,,27-03-2020 08:05,27-03-2020 08:05,78:e7:d1:91:ce:5e,,,"Cisco IOS Software, C3750E Software (C3750E-UNIVERSALK9-M), Version 12.2(55)SE3, RELEASE SOFTWARE (fc1)  Technical Support: http://www.cisco.com/techsupport  Copyright (c) 1986-2011 by Cisco Systems, Inc.  Compiled Thu 05-May-11 15:40 by prod_rel_team",2.5.70.1,QA santaClara lab Simplesoft server,catalyst37xxStack,QAlab2swrtr07SS.qanet.com,Connected to CLDC-QALAB-SW3 on Gi1/0/13 for scan access,Gi1/0/22,22,Switch-Router,Cisco,,Full,Connected,1G,Up,VLAN3000,3000,,,,,172.19.1.60_10
193.1.125.88,,,,,,,,,,,NetMRI,,27-03-2020 08:05,27-03-2020 08:05,78:e7:d1:91:ce:5e,,,"Cisco IOS Software, C3750E Software (C3750E-UNIVERSALK9-M), Version 12.2(55)SE3, RELEASE SOFTWARE (fc1)  Technical Support: http://www.cisco.com/techsupport  Copyright (c) 1986-2011 by Cisco Systems, Inc.  Compiled Thu 05-May-11 15:40 by prod_rel_team",2.5.70.1,QA santaClara lab Simplesoft server,catalyst37xxStack,QAlab2swrtr07SS.qanet.com,Connected to CLDC-QALAB-SW3 on Gi1/0/13 for scan access,Gi1/0/22,22,Switch-Router,Cisco,,Full,Connected,1G,Up,VLAN3000,3000,,,,,172.19.1.60_10
193.1.127.66,,,,,,,,,,,NetMRI,,27-03-2020 08:05,27-03-2020 08:05,78:e7:d1:91:ce:5e,,,"Cisco IOS Software, C3750E Software (C3750E-UNIVERSALK9-M), Version 12.2(55)SE3, RELEASE SOFTWARE (fc1)  Technical Support: http://www.cisco.com/techsupport  Copyright (c) 1986-2011 by Cisco Systems, Inc.  Compiled Thu 05-May-11 15:40 by prod_rel_team",2.5.70.1,QA santaClara lab Simplesoft server,catalyst37xxStack,QAlab2swrtr07SS.qanet.com,Connected to CLDC-QALAB-SW3 on Gi1/0/13 for scan access,Gi1/0/22,22,Switch-Router,Cisco,,Full,Connected,1G,Up,VLAN3000,3000,,,,,172.19.1.60_10
193.1.128.1,,,,,,,,,,,NetMRI,,27-03-2020 08:05,27-03-2020 08:05,78:e7:d1:91:ce:5e,,,"Cisco IOS Software, C3750E Software (C3750E-UNIVERSALK9-M), Version 12.2(55)SE3, RELEASE SOFTWARE (fc1)  Technical Support: http://www.cisco.com/techsupport  Copyright (c) 1986-2011 by Cisco Systems, Inc.  Compiled Thu 05-May-11 15:40 by prod_rel_team",2.5.70.1,QA santaClara lab Simplesoft server,catalyst37xxStack,QAlab2swrtr07SS.qanet.com,Connected to CLDC-QALAB-SW3 on Gi1/0/13 for scan access,Gi1/0/22,22,Switch-Router,Cisco,,Full,Connected,1G,Up,VLAN3000,3000,,,,,172.19.1.60_10
193.1.13.97,,,,,,,,,,,NetMRI,,27-03-2020 08:05,27-03-2020 08:05,78:e7:d1:91:ce:5e,,,"Cisco IOS Software, C3750E Software (C3750E-UNIVERSALK9-M), Version 12.2(55)SE3, RELEASE SOFTWARE (fc1)  Technical Support: http://www.cisco.com/techsupport  Copyright (c) 1986-2011 by Cisco Systems, Inc.  Compiled Thu 05-May-11 15:40 by prod_rel_team",2.5.70.1,QA santaClara lab Simplesoft server,catalyst37xxStack,QAlab2swrtr07SS.qanet.com,Connected to CLDC-QALAB-SW3 on Gi1/0/13 for scan access,Gi1/0/22,22,Switch-Router,Cisco,,Full,Connected,1G,Up,VLAN3000,3000,,,,,172.19.1.60_10
193.1.149.7,,,,,,,,,,,NetMRI,,27-03-2020 08:05,27-03-2020 08:05,78:e7:d1:91:ce:5e,,,"Cisco IOS Software, C3750E Software (C3750E-UNIVERSALK9-M), Version 12.2(55)SE3, RELEASE SOFTWARE (fc1)  Technical Support: http://www.cisco.com/techsupport  Copyright (c) 1986-2011 by Cisco Systems, Inc.  Compiled Thu 05-May-11 15:40 by prod_rel_team",2.5.70.1,QA santaClara lab Simplesoft server,catalyst37xxStack,QAlab2swrtr07SS.qanet.com,Connected to CLDC-QALAB-SW3 on Gi1/0/13 for scan access,Gi1/0/22,22,Switch-Router,Cisco,,Full,Connected,1G,Up,VLAN3000,3000,,,,,172.19.1.60_10
193.1.150.55,,,,,,,,,,,NetMRI,,27-03-2020 08:05,27-03-2020 08:05,78:e7:d1:91:ce:5e,,,"Cisco IOS Software, C3750E Software (C3750E-UNIVERSALK9-M), Version 12.2(55)SE3, RELEASE SOFTWARE (fc1)  Technical Support: http://www.cisco.com/techsupport  Copyright (c) 1986-2011 by Cisco Systems, Inc.  Compiled Thu 05-May-11 15:40 by prod_rel_team",2.5.70.1,QA santaClara lab Simplesoft server,catalyst37xxStack,QAlab2swrtr07SS.qanet.com,Connected to CLDC-QALAB-SW3 on Gi1/0/13 for scan access,Gi1/0/22,22,Switch-Router,Cisco,,Full,Connected,1G,Up,VLAN3000,3000,,,,,172.19.1.60_10
193.1.24.86,,,,,,,,,,,NetMRI,,27-03-2020 08:05,27-03-2020 08:05,78:e7:d1:91:ce:5e,,,"Cisco IOS Software, C3750E Software (C3750E-UNIVERSALK9-M), Version 12.2(55)SE3, RELEASE SOFTWARE (fc1)  Technical Support: http://www.cisco.com/techsupport  Copyright (c) 1986-2011 by Cisco Systems, Inc.  Compiled Thu 05-May-11 15:40 by prod_rel_team",2.5.70.1,QA santaClara lab Simplesoft server,catalyst37xxStack,QAlab2swrtr07SS.qanet.com,Connected to CLDC-QALAB-SW3 on Gi1/0/13 for scan access,Gi1/0/22,22,Switch-Router,Cisco,,Full,Connected,1G,Up,VLAN3000,3000,,,,,172.19.1.60_10
193.1.25.60,,,,,,,,,,,NetMRI,,27-03-2020 08:05,27-03-2020 08:05,78:e7:d1:91:ce:5e,,,"Cisco IOS Software, C3750E Software (C3750E-UNIVERSALK9-M), Version 12.2(55)SE3, RELEASE SOFTWARE (fc1)  Technical Support: http://www.cisco.com/techsupport  Copyright (c) 1986-2011 by Cisco Systems, Inc.  Compiled Thu 05-May-11 15:40 by prod_rel_team",2.5.70.1,QA santaClara lab Simplesoft server,catalyst37xxStack,QAlab2swrtr07SS.qanet.com,Connected to CLDC-QALAB-SW3 on Gi1/0/13 for scan access,Gi1/0/22,22,Switch-Router,Cisco,,Full,Connected,1G,Up,VLAN3000,3000,,,,,172.19.1.60_10
193.1.28.91,,,,,,,,,,,NetMRI,,27-03-2020 08:05,27-03-2020 08:05,78:e7:d1:91:ce:5e,,,"Cisco IOS Software, C3750E Software (C3750E-UNIVERSALK9-M), Version 12.2(55)SE3, RELEASE SOFTWARE (fc1)  Technical Support: http://www.cisco.com/techsupport  Copyright (c) 1986-2011 by Cisco Systems, Inc.  Compiled Thu 05-May-11 15:40 by prod_rel_team",2.5.70.1,QA santaClara lab Simplesoft server,catalyst37xxStack,QAlab2swrtr07SS.qanet.com,Connected to CLDC-QALAB-SW3 on Gi1/0/13 for scan access,Gi1/0/22,22,Switch-Router,Cisco,,Full,Connected,1G,Up,VLAN3000,3000,,,,,172.19.1.60_10
193.1.3.99,,,,,,,,,,,NetMRI,,27-03-2020 08:05,27-03-2020 08:05,78:e7:d1:91:ce:5e,,,"Cisco IOS Software, C3750E Software (C3750E-UNIVERSALK9-M), Version 12.2(55)SE3, RELEASE SOFTWARE (fc1)  Technical Support: http://www.cisco.com/techsupport  Copyright (c) 1986-2011 by Cisco Systems, Inc.  Compiled Thu 05-May-11 15:40 by prod_rel_team",2.5.70.1,QA santaClara lab Simplesoft server,catalyst37xxStack,QAlab2swrtr07SS.qanet.com,Connected to CLDC-QALAB-SW3 on Gi1/0/13 for scan access,Gi1/0/22,22,Switch-Router,Cisco,,Full,Connected,1G,Up,VLAN3000,3000,,,,,172.19.1.60_10
193.1.33.14,,,,,,,,,,,NetMRI,,27-03-2020 08:05,27-03-2020 08:05,78:e7:d1:91:ce:5e,,,"Cisco IOS Software, C3750E Software (C3750E-UNIVERSALK9-M), Version 12.2(55)SE3, RELEASE SOFTWARE (fc1)  Technical Support: http://www.cisco.com/techsupport  Copyright (c) 1986-2011 by Cisco Systems, Inc.  Compiled Thu 05-May-11 15:40 by prod_rel_team",2.5.70.1,QA santaClara lab Simplesoft server,catalyst37xxStack,QAlab2swrtr07SS.qanet.com,Connected to CLDC-QALAB-SW3 on Gi1/0/13 for scan access,Gi1/0/22,22,Switch-Router,Cisco,,Full,Connected,1G,Up,VLAN3000,3000,,,,,172.19.1.60_10
193.1.34.1,,,,,,,,,,,NetMRI,,27-03-2020 08:05,27-03-2020 08:05,78:e7:d1:91:ce:5e,,,"Cisco IOS Software, C3750E Software (C3750E-UNIVERSALK9-M), Version 12.2(55)SE3, RELEASE SOFTWARE (fc1)  Technical Support: http://www.cisco.com/techsupport  Copyright (c) 1986-2011 by Cisco Systems, Inc.  Compiled Thu 05-May-11 15:40 by prod_rel_team",2.5.70.1,QA santaClara lab Simplesoft server,catalyst37xxStack,QAlab2swrtr07SS.qanet.com,Connected to CLDC-QALAB-SW3 on Gi1/0/13 for scan access,Gi1/0/22,22,Switch-Router,Cisco,,Full,Connected,1G,Up,VLAN3000,3000,,,,,172.19.1.60_10
193.1.34.12,,,,,,,,,,,NetMRI,,27-03-2020 08:05,27-03-2020 08:05,78:e7:d1:91:ce:5e,,,"Cisco IOS Software, C3750E Software (C3750E-UNIVERSALK9-M), Version 12.2(55)SE3, RELEASE SOFTWARE (fc1)  Technical Support: http://www.cisco.com/techsupport  Copyright (c) 1986-2011 by Cisco Systems, Inc.  Compiled Thu 05-May-11 15:40 by prod_rel_team",2.5.70.1,QA santaClara lab Simplesoft server,catalyst37xxStack,QAlab2swrtr07SS.qanet.com,Connected to CLDC-QALAB-SW3 on Gi1/0/13 for scan access,Gi1/0/22,22,Switch-Router,Cisco,,Full,Connected,1G,Up,VLAN3000,3000,,,,,172.19.1.60_10
193.1.36.80,,,,,,,,,,,NetMRI,,27-03-2020 08:05,27-03-2020 08:05,78:e7:d1:91:ce:5e,,,"Cisco IOS Software, C3750E Software (C3750E-UNIVERSALK9-M), Version 12.2(55)SE3, RELEASE SOFTWARE (fc1)  Technical Support: http://www.cisco.com/techsupport  Copyright (c) 1986-2011 by Cisco Systems, Inc.  Compiled Thu 05-May-11 15:40 by prod_rel_team",2.5.70.1,QA santaClara lab Simplesoft server,catalyst37xxStack,QAlab2swrtr07SS.qanet.com,Connected to CLDC-QALAB-SW3 on Gi1/0/13 for scan access,Gi1/0/22,22,Switch-Router,Cisco,,Full,Connected,1G,Up,VLAN3000,3000,,,,,172.19.1.60_10
193.1.49.85,,,,,,,,,,,NetMRI,,27-03-2020 08:05,27-03-2020 08:05,78:e7:d1:91:ce:5e,,,"Cisco IOS Software, C3750E Software (C3750E-UNIVERSALK9-M), Version 12.2(55)SE3, RELEASE SOFTWARE (fc1)  Technical Support: http://www.cisco.com/techsupport  Copyright (c) 1986-2011 by Cisco Systems, Inc.  Compiled Thu 05-May-11 15:40 by prod_rel_team",2.5.70.1,QA santaClara lab Simplesoft server,catalyst37xxStack,QAlab2swrtr07SS.qanet.com,Connected to CLDC-QALAB-SW3 on Gi1/0/13 for scan access,Gi1/0/22,22,Switch-Router,Cisco,,Full,Connected,1G,Up,VLAN3000,3000,,,,,172.19.1.60_10
193.1.52.1,,,,,,,,,,,NetMRI,,27-03-2020 08:05,27-03-2020 08:05,78:e7:d1:91:ce:5e,,,"Cisco IOS Software, C3750E Software (C3750E-UNIVERSALK9-M), Version 12.2(55)SE3, RELEASE SOFTWARE (fc1)  Technical Support: http://www.cisco.com/techsupport  Copyright (c) 1986-2011 by Cisco Systems, Inc.  Compiled Thu 05-May-11 15:40 by prod_rel_team",2.5.70.1,QA santaClara lab Simplesoft server,catalyst37xxStack,QAlab2swrtr07SS.qanet.com,Connected to CLDC-QALAB-SW3 on Gi1/0/13 for scan access,Gi1/0/22,22,Switch-Router,Cisco,,Full,Connected,1G,Up,VLAN3000,3000,,,,,172.19.1.60_10
193.1.7.1,,,,,,,,,,,NetMRI,,27-03-2020 08:05,27-03-2020 08:05,78:e7:d1:91:ce:5e,,,"Cisco IOS Software, C3750E Software (C3750E-UNIVERSALK9-M), Version 12.2(55)SE3, RELEASE SOFTWARE (fc1)  Technical Support: http://www.cisco.com/techsupport  Copyright (c) 1986-2011 by Cisco Systems, Inc.  Compiled Thu 05-May-11 15:40 by prod_rel_team",2.5.70.1,QA santaClara lab Simplesoft server,catalyst37xxStack,QAlab2swrtr07SS.qanet.com,Connected to CLDC-QALAB-SW3 on Gi1/0/13 for scan access,Gi1/0/22,22,Switch-Router,Cisco,,Full,Connected,1G,Up,VLAN3000,3000,,,,,172.19.1.60_10
193.1.83.3,,,,,,,,,,,NetMRI,,27-03-2020 08:05,27-03-2020 08:05,78:e7:d1:91:ce:5e,,,"Cisco IOS Software, C3750E Software (C3750E-UNIVERSALK9-M), Version 12.2(55)SE3, RELEASE SOFTWARE (fc1)  Technical Support: http://www.cisco.com/techsupport  Copyright (c) 1986-2011 by Cisco Systems, Inc.  Compiled Thu 05-May-11 15:40 by prod_rel_team",2.5.70.1,QA santaClara lab Simplesoft server,catalyst37xxStack,QAlab2swrtr07SS.qanet.com,Connected to CLDC-QALAB-SW3 on Gi1/0/13 for scan access,Gi1/0/22,22,Switch-Router,Cisco,,Full,Connected,1G,Up,VLAN3000,3000,,,,,172.19.1.60_10
193.1.99.48,,,,,,,,,,,NetMRI,,27-03-2020 08:05,27-03-2020 08:05,78:e7:d1:91:ce:5e,,,"Cisco IOS Software, C3750E Software (C3750E-UNIVERSALK9-M), Version 12.2(55)SE3, RELEASE SOFTWARE (fc1)  Technical Support: http://www.cisco.com/techsupport  Copyright (c) 1986-2011 by Cisco Systems, Inc.  Compiled Thu 05-May-11 15:40 by prod_rel_team",2.5.70.1,QA santaClara lab Simplesoft server,catalyst37xxStack,QAlab2swrtr07SS.qanet.com,Connected to CLDC-QALAB-SW3 on Gi1/0/13 for scan access,Gi1/0/22,22,Switch-Router,Cisco,,Full,Connected,1G,Up,VLAN3000,3000,,,,,172.19.1.60_10
2.5.40.1,,,,,,,,,,,NetMRI,,26-03-2020 18:03,27-03-2020 08:05,c0:67:af:91:4c:d3,,,"Cisco IOS Software, C3750E Software (C3750E-UNIVERSALK9-M), Version 12.2(55)SE3, RELEASE SOFTWARE (fc1)  Technical Support: http://www.cisco.com/techsupport  Copyright (c) 1986-2011 by Cisco Systems, Inc.  Compiled Thu 05-May-11 15:40 by prod_rel_team",2.5.70.1,QA santaClara lab Simplesoft server,catalyst37xxStack,QAlab2swrtr07SS.qanet.com,Connected to CLDC-QALAB-SW3 on Gi1/0/13 for scan access,Gi1/0/22,22,Switch-Router,Cisco,,Full,Connected,1G,Up,VLAN3000,3000,,,,,172.19.1.60_10
2.5.40.200,,,,,,,,,,,NetMRI,,26-03-2020 18:03,27-03-2020 08:05,00:50:56:b4:27:f4,,,"Cisco IOS Software, C3750E Software (C3750E-UNIVERSALK9-M), Version 12.2(55)SE3, RELEASE SOFTWARE (fc1)  Technical Support: http://www.cisco.com/techsupport  Copyright (c) 1986-2011 by Cisco Systems, Inc.  Compiled Thu 05-May-11 15:40 by prod_rel_team",2.5.70.1,QA santaClara lab Simplesoft server,catalyst37xxStack,QAlab2swrtr07SS.qanet.com,Connected to CLDC-QALAB-SW3 on Gi1/0/13 for scan access,Gi1/0/22,22,Switch-Router,Cisco,,Full,Connected,1G,Up,VLAN3000,3000,,,,,172.19.1.60_10
2.5.40.249,,,,,,,,,,,NetMRI,,26-03-2020 18:03,27-03-2020 08:05,00:50:56:80:1f:77,,,"Cisco IOS Software, C3750E Software (C3750E-UNIVERSALK9-M), Version 12.2(55)SE3, RELEASE SOFTWARE (fc1)  Technical Support: http://www.cisco.com/techsupport  Copyright (c) 1986-2011 by Cisco Systems, Inc.  Compiled Thu 05-May-11 15:40 by prod_rel_team",2.5.70.1,QA santaClara lab Simplesoft server,catalyst37xxStack,QAlab2swrtr07SS.qanet.com,Connected to CLDC-QALAB-SW3 on Gi1/0/13 for scan access,Gi1/0/22,22,Switch-Router,Cisco,,Full,Connected,1G,Up,VLAN3000,3000,,,,,172.19.1.60_10
2.5.60.1,,,,,,,,,,,NetMRI,,26-03-2020 18:03,27-03-2020 08:05,00:14:69:4f:e6:cb,,,"Cisco IOS Software, C3750E Software (C3750E-UNIVERSALK9-M), Version 12.2(55)SE3, RELEASE SOFTWARE (fc1)  Technical Support: http://www.cisco.com/techsupport  Copyright (c) 1986-2011 by Cisco Systems, Inc.  Compiled Thu 05-May-11 15:40 by prod_rel_team",2.5.70.1,QA santaClara lab Simplesoft server,catalyst37xxStack,QAlab2swrtr07SS.qanet.com,Connected to CLDC-QALAB-SW3 on Gi1/0/13 for scan access,Gi1/0/22,22,Switch-Router,Cisco,,Full,Connected,1G,Up,VLAN3000,3000,,,,,172.19.1.60_10
